transaction_id,order_date,store_id,product_id,quantity,unit_price_eur,discount_pct,revenue_eur,payment_method
TX000001,2024-05-08,ST002,PR0028,9,2.04,0,18.36,app
TX000002,2024-05-16,ST007,PR0004,6,2.06,0,12.36,pin
TX000003,2024-08-20,ST005,PR0024,1,6.9,0.2,5.52,app
TX000004,2024-04-01,ST005,PR0030,9,5.68,0,51.12,app
TX000005,2024-11-07,ST003,PR0005,4,1.55,0,6.2,app
TX000006,2024-09-28,ST008,PR0020,1,4.08,0,4.08,pin
TX000007,2024-02-27,ST004,PR0029,6,5.68,0,34.08,pin
TX000008,2024-05-03,ST008,PR0003,10,6.51,0,65.1,pin
TX000009,2024-09-29,ST008,PR0005,3,1.55,0.2,3.72,app
TX000010,2024-03-25,ST007,PR0017,5,4.58,0.15,19.46,pin
TX000011,2024-10-03,ST007,PR0023,4,1.96,0,7.84,pin
TX000012,2024-08-12,ST004,PR0015,9,6.54,0,58.86,pin
TX000013,2024-02-02,ST009,PR0001,6,4.23,0.15,21.57,pin
TX000014,2024-10-28,ST001,PR0001,4,4.23,0,16.92,pin
TX000015,2024-02-04,ST002,PR0028,1,2.04,0,2.04,app
TX000016,2024-05-01,ST004,PR0022,5,6.16,0.1,27.72,app
TX000017,2024-03-08,ST004,PR0019,10,2.67,0.1,24.03,cash
TX000018,2024-07-27,ST007,PR0004,4,2.06,0,8.24,pin
TX000019,2024-08-04,ST001,PR0015,7,6.54,0.2,36.62,pin
TX000020,2024-02-01,ST002,PR0024,7,6.9,0,48.3,pin
TX000021,2024-04-08,ST003,PR0018,4,2.59,0.1,9.32,cash
TX000022,2024-04-03,ST002,PR0015,5,6.54,0,32.7,cash
TX000023,2024-10-08,ST009,PR0002,2,3.07,0.2,4.91,pin
TX000024,2024-02-17,ST008,PR0006,4,7.74,0.1,27.86,cash
TX000025,2024-04-19,ST003,PR0029,7,5.68,0,39.76,cash
TX000026,2024-01-02,ST005,PR0009,7,8.05,0.1,50.72,cash
TX000027,2024-12-22,ST008,PR0022,9,6.16,0.2,44.35,pin
TX000028,2024-04-07,ST010,PR0007,5,6.77,0,33.85,app
TX000029,2024-02-01,ST010,PR0002,6,3.07,0,18.42,cash
TX000030,2024-09-14,ST009,PR0006,9,7.74,0,69.66,pin
TX000031,2024-04-05,ST004,PR0020,2,4.08,0,8.16,cash
TX000032,2024-03-02,ST010,PR0008,10,1.44,0.15,12.24,pin
TX000033,2024-11-13,ST010,PR0014,2,3.83,0.2,6.13,app
TX000034,2024-09-24,ST004,PR0030,6,5.68,0,34.08,pin
TX000035,2024-05-02,ST005,PR0013,5,3.07,0,15.35,cash
TX000036,2024-06-10,ST010,PR0001,2,4.23,0.1,7.61,app
TX000037,2024-02-21,ST009,PR0018,2,2.59,0,5.18,pin
TX000038,2024-03-08,ST004,PR0029,6,5.68,0,34.08,pin
TX000039,2024-05-25,ST005,PR0015,3,6.54,0.15,16.68,app
TX000040,2024-11-30,ST009,PR0001,9,4.23,0.2,30.46,pin
TX000041,2024-12-05,ST005,PR0029,2,5.68,0,11.36,pin
TX000042,2024-02-24,ST005,PR0005,9,1.55,0,13.95,app
TX000043,2024-04-17,ST005,PR0007,6,6.77,0.2,32.5,app
TX000044,2024-09-07,ST002,PR0029,5,5.68,0,28.4,cash
TX000045,2024-05-21,ST003,PR0001,1,4.23,0,4.23,pin
TX000046,2024-03-23,ST007,PR0018,8,2.59,0.2,16.58,app
TX000047,2024-01-05,ST003,PR0003,2,6.51,0.2,10.42,app
TX000048,2024-01-19,ST003,PR0019,6,2.67,0.15,13.62,cash
TX000049,2024-03-06,ST001,PR0010,1,2.37,0,2.37,pin
TX000050,2024-04-17,ST006,PR0022,4,6.16,0,24.64,app
TX000051,2024-07-27,ST004,PR0024,10,6.9,0,69.0,pin
TX000052,2024-03-31,ST006,PR0001,7,4.23,0,29.61,cash
TX000053,2024-12-08,ST002,PR0009,4,8.05,0,32.2,cash
TX000054,2024-01-20,ST008,PR0008,8,1.44,0,11.52,pin
TX000055,2024-06-05,ST004,PR0008,4,1.44,0,5.76,cash
TX000056,2024-06-17,ST005,PR0028,5,2.04,0,10.2,pin
TX000057,2024-11-24,ST009,PR0013,9,3.07,0.2,22.1,pin
TX000058,2024-01-15,ST003,PR0029,2,5.68,0,11.36,app
TX000059,2024-05-15,ST007,PR0004,1,2.06,0.15,1.75,pin
TX000060,2024-06-09,ST002,PR0020,7,4.08,0.15,24.28,cash
TX000061,2024-10-22,ST007,PR0009,4,8.05,0,32.2,pin
TX000062,2024-09-23,ST004,PR0022,9,6.16,0.2,44.35,pin
TX000063,2024-08-08,ST010,PR0022,2,6.16,0,12.32,pin
TX000064,2024-12-05,ST009,PR0024,2,6.9,0,13.8,pin
TX000065,2024-12-07,ST005,PR0011,7,6.21,0.1,39.12,app
TX000066,2024-03-06,ST007,PR0014,4,3.83,0.2,12.26,pin
TX000067,2024-11-11,ST009,PR0010,10,2.37,0.1,21.33,pin
TX000068,2024-06-04,ST010,PR0007,5,6.77,0.1,30.46,app
TX000069,2024-12-01,ST008,PR0015,6,6.54,0.1,35.32,pin
TX000070,2024-09-18,ST003,PR0026,8,2.59,0.2,16.58,pin
TX000071,2024-05-25,ST010,PR0022,9,6.16,0.2,44.35,pin
TX000072,2024-02-17,ST004,PR0022,4,6.16,0,24.64,pin
TX000073,2024-03-16,ST008,PR0002,1,3.07,0,3.07,app
TX000074,2024-02-07,ST010,PR0014,8,3.83,0.2,24.51,pin
TX000075,2024-12-22,ST004,PR0016,7,6.0,0.1,37.8,pin
TX000076,2024-12-01,ST007,PR0029,1,5.68,0,5.68,pin
TX000077,2024-03-31,ST009,PR0015,9,6.54,0,58.86,pin
TX000078,2024-03-03,ST009,PR0005,8,1.55,0.1,11.16,app
TX000079,2024-10-31,ST010,PR0025,6,4.3,0.1,23.22,app
TX000080,2024-08-06,ST008,PR0015,9,6.54,0,58.86,cash
TX000081,2024-05-12,ST005,PR0027,4,4.84,0.2,15.49,app
TX000082,2024-09-05,ST002,PR0009,4,8.05,0.1,28.98,pin
TX000083,2024-04-30,ST009,PR0011,5,6.21,0,31.05,pin
TX000084,2024-03-11,ST003,PR0008,3,1.44,0.1,3.89,pin
TX000085,2024-02-02,ST009,PR0014,7,3.83,0,26.81,cash
TX000086,2024-07-31,ST007,PR0007,1,6.77,0.1,6.09,app
